target_id	functional_annotation
Solyc10g054580	Unknown Protein 
Solyc10g054590	V-type proton ATPase 16 kDa proteolipid subunit 
Solyc10g054600	"Nbs, resistance protein fragment"
Solyc10g054610	"Lrr,  resistance protein fragment"
Solyc10g054620	Unknown Protein 
Solyc10g054630	Ulp1 protease family C-terminal catalytic domain containing protein 
Solyc10g054640	Mutator-like transposase 
Solyc10g054660	Unknown Protein 
Solyc10g054670	Unknown Protein 
Solyc10g054680	Mutator-like transposase-like 
Solyc10g054690	Mutator-like transposase 
Solyc10g054700	Unknown Protein 
Solyc10g054720	Auxin-induced SAUR-like protein 
Solyc10g054730	Pentatricopeptide repeat-containing protein 
Solyc10g054740	Ulp1 protease family C-terminal catalytic domain containing protein 
Solyc10g054750	Auxin-induced SAUR-like protein 
Solyc10g054760	Auxin-induced SAUR-like protein 
Solyc10g054770	Auxin-induced SAUR-like protein 
Solyc10g054780	Acetyl esterase 
Solyc10g054790	Aquaporin 
Solyc10g054800	Aquaporin 
Solyc10g054810	Aquaporin 
Solyc10g054820	Aquaporin 
Solyc10g054830	Gag-Pol polyprotein 
Solyc10g054840	Aquaporin 
Solyc10g054850	ER lumen protein retaining receptor family protein 
Solyc10g054860	Chromosome 13 contig 1 DNA sequence 
Solyc10g054870	Triosephosphate isomerase 
Solyc10g054880	Translocon-associated protein alpha subunit 
Solyc10g054890	Unknown Protein 
Solyc10g054900	Proline-rich protein 
Solyc10g054910	Peptidyl-prolyl cis-trans isomerase 
Solyc10g054920	ARGONAUTE 1 
Solyc10g054930	DUF803 domain membrane protein 
Solyc10g054940	"Nbs, resistance protein fragment"
Solyc10g054950	Unknown Protein 
Solyc10g054960	Unknown Protein 
Solyc10g054970	"Cc-nbs, resistance protein fragment"
Solyc10g054980	Unknown Protein 
Solyc10g054990	Cc-nbs-lrr resistance protein 
Solyc10g055000	Dirigent-like protein 
Solyc10g055010	Unknown Protein 
Solyc10g055020	Unknown Protein 
Solyc10g055030	Unknown Protein 
Solyc10g055040	Unknown Protein 
Solyc10g055050	"Nbs, resistance protein fragment"
Solyc10g055060	Resistance protein RGC2 
Solyc10g055070	Unknown Protein 
Solyc10g055080	"Cc-nbs-lrr, resistance protein"
Solyc10g055090	Disease resistance response 
Solyc10g055100	Unknown Protein 
Solyc10g055110	Unknown Protein 
Solyc10g055120	"Nbs-lrr, resistance protein"
Solyc10g055130	Unknown Protein 
Solyc10g055140	"Nbs, resistance protein fragment"
Solyc10g055150	Unknown Protein 
Solyc10g055160	Unknown Protein 
Solyc10g055170	"Nbs, resistance protein fragment"
Solyc10g055180	Unknown Protein 
Solyc10g055190	Dirigent-like protein 
Solyc10g055200	Disease resistance response 
Solyc10g055210	Dirigent-like protein 
Solyc10g055230	Disease resistance response protein 
Solyc10g055240	Phosphatidylinositol-specific phospholipase c 
Solyc10g055250	Cold shock protein-1 
Solyc10g055260	Auxin transporter-like protein 3 
Solyc10g055270	F-box protein interaction domain containing protein 
Solyc10g055280	Leucine-rich repeat receptor-like protein kinase 
Solyc10g055290	"LRR receptor-like serine/threonine-protein kinase, RLP"
Solyc10g055300	"Lrr,  resistance protein fragment"
Solyc10g055310	Leucine-rich repeat receptor-like protein kinase 
Solyc10g055320	F-box protein interaction domain containing protein 
Solyc10g055330	Unknown Protein 
Solyc10g055340	Glycosyl hydrolase family 10 protein expressed 
Solyc10g055350	Unknown Protein 
Solyc10g055360	RNA-binding protein AKIP1-like 
Solyc10g055370	Endo-1 4-beta-xylanase 
Solyc10g055380	TNP2 
Solyc10g055390	Nodulin family protein 
Solyc10g055400	Unknown Protein 
Solyc10g055410	MYB transcription factor 
Solyc10g055420	Unknown Protein 
Solyc10g055450	Ubiquitin-protein ligase 4 
Solyc10g055460	Unknown Protein 
Solyc10g055470	Beta-galactosidase 
Solyc10g055480	Unknown Protein 
Solyc10g055490	Gag-Pol polyprotein 
Solyc10g055500	Ulp1 protease family C-terminal catalytic domain containing protein 
Solyc10g055510	Mutator-like transposase 
Solyc10g055520	GTP-binding RHO-like protein 
Solyc10g055530	Unknown Protein 
Solyc10g055540	HAT family dimerisation domain containing protein 
Solyc10g055550	BZIP family transcription factor 
Solyc10g055560	Baculoviral IAP repeat-containing 3 
Solyc10g055570	SKP1-like protein 
Solyc10g055580	SKP1-like protein 4 
Solyc10g055590	SKP1-like protein 4 
Solyc10g055600	S-phase kinase-associated protein 1A 
Solyc10g055610	SKP1-like 1 
Solyc10g055620	Heparan-alpha-glucosaminide N-acetyltransferase 
Solyc10g055630	Aquaporin 
Solyc10g055640	Pre-mRNA-splicing factor syf2 
Solyc10g055650	Protein phosphatase 2C 
Solyc10g055660	Unknown Protein 
Solyc10g055670	V-type ATP synthase beta chain 
Solyc10g055680	Ubiquinone/menaquinone biosynthesis methyltransferase ubiE 
Solyc10g055690	Unknown Protein 
Solyc10g055700	Pentatricopeptide repeat-containing protein 
Solyc10g055710	Mechanosensitive ion channel family 
Solyc10g055720	Kinase family protein 
Solyc10g055730	N-hydroxycinnamoyl/benzoyltransferase 4 
Solyc10g055740	Lysine/histidine transporter 
Solyc10g055750	Lysine/histidine transporter 
Solyc10g055760	NAC domain protein IPR003441 
Solyc10g055770	Multidrug resistance protein 2 
Solyc10g055780	Chitinase 
Solyc10g055790	Chitinase 
Solyc10g055800	Chitinase 
Solyc10g055810	Endochitinase 
Solyc10g055820	Chitinase 
Solyc10g061820	Pol polyprotein 
Solyc10g061830	Photosystem II CP43 chlorophyll apoprotein 
Solyc10g061840	Carboxyl methyltransferase 4 
Solyc10g061850	Transposase family protein 
Solyc10g061860	Calcium-dependent protein kinase-like 
Solyc10g061870	Calcium-binding EF hand family protein 
Solyc10g061880	Unknown Protein 
Solyc10g061890	Unknown Protein 
Solyc10g061900	Unknown Protein 
Solyc10g061910	Unknown Protein 
Solyc10g061920	Unknown Protein 
Solyc10g061930	Casein kinase II subunit beta-4 
Solyc10g061940	Casein kinase II subunit beta-4 
Solyc10g061950	Unknown Protein 
Solyc10g061960	MORN repeat-containing protein 
Solyc10g061970	60S ribosomal protein L37a 
Solyc10g061980	Neutral invertase-like protein 
Solyc10g061990	NADH-ubiquinone oxidoreductase chain 4 
Solyc10g062000	NADH-ubiquinone oxidoreductase chain 4 
Solyc10g062010	Unknown Protein 
Solyc10g062020	NADH dehydrogenase subunit 5 
Solyc10g062030	Unknown Protein 
Solyc10g062040	NADH-ubiquinone oxidoreductase chain 2 
Solyc10g062050	NADH dehydrogenase subunit 2 
Solyc10g062060	Transport membrane protein 
Solyc10g062070	Transport membrane protein 
Solyc10g062080	Protein FAR1-RELATED SEQUENCE 5 
Solyc10g062090	Sugar transporter family protein expressed 
Solyc10g062100	Unknown Protein 
Solyc10g062110	Sugar transporter family protein expressed 
Solyc10g062120	Unknown Protein 
Solyc10g062130	Unknown Protein 
Solyc10g062140	Unknown Protein 
Solyc10g062150	Unknown Protein 
Solyc10g062160	Dynamin like protein 
Solyc10g062170	Unknown Protein 
Solyc10g062180	Polyadenylate-binding protein 
Solyc10g062190	Unknown Protein 
Solyc10g062200	Engulfment and cell motility protein 3 
Solyc10g062210	Unknown Protein 
Solyc10g062220	ELMO domain-containing protein 2 
Solyc10g062230	SPX N-terminal 
Solyc10g062250	Unknown Protein 
Solyc10g062260	Unknown Protein 
Solyc10g062270	Unknown Protein 
Solyc10g062280	Unknown Protein 
Solyc10g062290	Unknown Protein 
Solyc10g062300	Unknown Protein 
Solyc10g062310	Unknown Protein 
Solyc10g062320	Unknown Protein 
Solyc10g062330	Hypothetical chloroplast RF1 
Solyc10g062340	Polyadenylate-binding protein 
Solyc10g068340	F-box family protein 
Solyc10g068350	Endochitinase 
Solyc10g073350	Histone-lysine N-methyltransferase H3 lysine-9 specific SUVH1 
Solyc10g074350	Unknown Protein 
Solyc10g074360	Endochitinase 
Solyc10g074370	Histone-lysine N-methyltransferase SUV39H1 
Solyc10g074380	Chitinase 
Solyc10g074390	Endochitinase 
Solyc10g074400	Chitinase 
Solyc10g074410	Helicase-like protein 
Solyc10g074420	Helitron helicase-like protein 
Solyc10g074430	Replication protein A DNA-binding subunit 
Solyc10g074440	Endochitinase 
Solyc10g074450	Unknown Protein 
Solyc10g074460	Endochitinase 
Solyc10g074470	Bzip transcription factor-like 
Solyc10g074480	Unknown Protein 
Solyc10g074490	Os03g0169000 protein 
Solyc10g074500	Isocitrate dehydrogenase 
Solyc10g074510	SEC1 family transport protein SLY1 
Solyc10g074520	SEC1 family transport protein SLY1 
Solyc10g074530	Unknown Protein 
Solyc10g074540	Expressed protein 
Solyc10g074550	Unknown Protein 
Solyc10g074560	Nucleolar complex protein 4 homolog 
Solyc10g074570	Calcium dependent protein kinase 6 
Solyc10g074580	Aminoacylase ACY1 and related metalloexopeptidases 
Solyc10g074590	Pantothenate kinase 4 
Solyc10g074600	Pentatricopeptide repeat-containing protein 
Solyc10g074610	Pentatricopeptide repeat-containing protein At3g46870 
Solyc10g074620	Cellulose synthase D-like protein 
Solyc10g074630	ADP-ribosylation factor 
Solyc10g074640	"Nbs, resistance protein fragment"
Solyc10g074650	Glycosyl transferase family 8 
Solyc10g074660	Unknown Protein 
Solyc10g074670	Transposase related protein 
Solyc10g074680	SCARECROW 
Solyc10g074690	MRNA complete cds clone RAFL23-01-J08 
Solyc10g074700	Bifunctional protein hldE 
Solyc10g074710	ATP binding / serine-threonine kinase 
Solyc10g074720	Cell division protein kinase 2 
Solyc10g074730	Harpin-induced 1 
Solyc10g074740	Calmodulin-like protein 
Solyc10g074750	Unknown Protein 
Solyc10g074760	Unknown Protein 
Solyc10g074770	Unknown Protein 
Solyc10g074780	Aspartyl protease family protein 
Solyc10g074790	Auxin efflux carrier family protein 
Solyc10g074800	Unknown Protein 
Solyc10g074810	RING finger and transmembrane domain-containing protein 2 
Solyc10g074820	Unknown Protein 
Solyc10g074830	Os02g0225300 protein 
Solyc10g074840	Unknown Protein 
Solyc10g074850	Solute carrier family 22 member 4 
Solyc10g074860	Unknown Protein 
Solyc10g074870	KH domain containing RNA binding signal transduction associated 1 
Solyc10g074880	Homology to unknown gene 
Solyc10g074890	"Receptor like kinase, RLK"
Solyc10g074900	"Receptor like kinase, RLK"
Solyc10g074910	Acetyltransferase-like protein 
Solyc10g074920	Mannan endo-1 4-beta-mannosidase 
Solyc10g074930	Protein kinase 2 
Solyc10g074940	Phospholipid-transporting ATPase 
Solyc10g074950	Unknown Protein 
Solyc10g074960	Unknown Protein 
Solyc10g074970	Transmembrane protein 
Solyc10g074980	Vacuolar sorting receptor 
Solyc10g074990	GRF domain class transcription factor 
Solyc10g075000	"LRR receptor-like serine/threonine-protein kinase, RLP"
Solyc10g075010	F-box family protein 
Solyc10g075020	Elongation factor P 
Solyc10g075030	AP2 domain-containing transcription factor 
Solyc10g075040	Receptor-like protein kinase At3g21340 
Solyc10g075050	Non-specific lipid-transfer protein 
Solyc10g075060	Non-specific lipid-transfer protein 
Solyc10g075070	Non-specific lipid-transfer protein 
Solyc10g075080	Unknown Protein 
Solyc10g075090	Non-specific lipid-transfer protein 
Solyc10g075100	Non-specific lipid-transfer protein 
Solyc10g075110	Non-specific lipid-transfer protein 
Solyc10g075120	Peroxidase 1 
Solyc10g075130	Unknown Protein 
Solyc10g075140	Unknown Protein 
Solyc10g075150	Non-specific lipid-transfer protein 
Solyc10g075160	Ferredoxin I 
Solyc10g075170	Aspartate aminotransferase 
Solyc10g076170	Unknown Protein 
Solyc10g076180	Plant-specific domain TIGR01568 family protein 
Solyc10g076190	Peroxidase 1 
Solyc10g076200	Non-specific lipid-transfer protein 
Solyc10g076210	Peroxidase 1 
Solyc10g076220	Peroxidase 1 
Solyc10g076230	Peroxidase 1 
Solyc10g076240	Peroxidase 1 
Solyc10g076250	Aminotransferase like protein 
Solyc10g076260	WD repeat-containing protein mip1 
Solyc10g076270	WD repeat-containing protein mip1 
Solyc10g076280	Solute carrier family 40 member 1 
Solyc10g076290	F-box/LRR-repeat protein 3 
Solyc10g076300	UPF0497 membrane protein At2g38480 
Solyc10g076310	Ulp1 protease family C-terminal catalytic domain containing protein 
Solyc10g076320	Protein phosphatase 2c 
Solyc10g076330	Kelch-like protein 
Solyc10g076340	Kelch-like protein 
Solyc10g076350	Macrophage migration inhibitory factor family protein 
Solyc10g076360	Prenylated rab acceptor PRA1 
Solyc10g076370	Ethylene-responsive transcription factor 13 
Solyc10g076380	Ethylene-responsive transcription factor 1 
Solyc10g076390	BES1/BZR1 homolog protein 1 
Solyc10g076400	Os03g0291800 protein 
Solyc10g076410	Abscisic acid receptor PYL4 
Solyc10g076420	Os03g0210500 protein 
Solyc10g076430	Pectinesterase 
Solyc10g076440	"Cc-nbs-lrr, resistance protein"
Solyc10g076450	Ethylene-overproduction protein 1 
Solyc10g076460	Myb-like DNA-binding domain SHAQKYF class family protein expressed 
Solyc10g076470	Unknown Protein 
Solyc10g076480	Ammonium transporter 
Solyc10g076490	"LRR receptor-like serine/threonine-protein kinase, RLP"
Solyc10g076500	"LRR receptor-like serine/threonine-protein kinase, RLP"
Solyc10g076510	Pyruvate decarboxylase 
Solyc10g076520	Unknown Protein 
Solyc10g076530	Receptor-like protein kinase At3g21340 
Solyc10g076540	Wall-associated receptor kinase 2 
Solyc10g076550	Receptor-like protein kinase At3g21340 
Solyc10g076560	Receptor-like protein kinase At3g21340 
Solyc10g076570	Os03g0291800 protein 
Solyc10g076580	Phosphatidylinositide phosphatase SAC1 
Solyc10g076590	Phosphatidylinositide phosphatase SAC1-like protein 
Solyc10g076600	Acyl-CoA dehydrogenase 
Solyc10g076610	Lysyl-tRNA synthetase 
Solyc10g076620	Unknown Protein 
Solyc10g076630	Cytochrome c biogenesis FC 
Solyc10g076640	F-box/kelch-repeat protein At3g06240 
Solyc10g076650	Ulp1 protease family C-terminal catalytic domain containing protein expressed 
Solyc10g076660	Anthocyanidin synthase 
Solyc10g076670	Anthocyanidin synthase 
Solyc10g076680	1-aminocyclopropane-1-carboxylate oxidase 
Solyc10g076690	PHD finger family protein 
Solyc10g076700	Rhodanese-like family protein-like protein 
Solyc10g076710	1-phosphatidylinositol-4 5-bisphosphate phosphodiesterase 
Solyc10g076720	Unknown Protein 
Solyc10g076730	Pectinesterase 
Solyc10g076740	Isoamyl acetate-hydrolyzing esterase 
Solyc10g076750	Yippee-like protein 
Solyc10g076760	Receptor-like protein kinase 
Solyc10g076770	Unknown Protein 
Solyc10g076780	Alpha-1 4-galactosyltransferase 
Solyc10g076790	Auxin transporter-like protein 1 
Solyc10g076800	Alpha-1 2-mannosyltransferase alg11 
Solyc10g076810	Unknown Protein 
Solyc10g076820	Myb family transcription factor 
Solyc10g076830	Laccase 1a 
Solyc10g076840	1-aminocyclopropane-1-carboxylate oxidase 1 
Solyc10g076850	Unknown Protein 
Solyc10g076860	BTB/POZ domain-containing protein 
Solyc10g076870	"Polyadenylate-binding protein, cytoplasmic and nuclear "
Solyc10g076880	Hsp20/alpha crystallin family protein expressed 
Solyc10g076890	RNA recognition motif-containing protein 
Solyc10g076900	Calcium dependent protein kinase 2 
Solyc10g076910	Pre-mRNA splicing factor ATP-dependent RNA helicase-like protein 
Solyc10g076920	BZIP transcription factor 
Solyc10g076930	Cupin RmlC-type 
Solyc10g076940	Major facilitator superfamily transporter 
Solyc10g076950	Unknown Protein 
Solyc10g076960	Ulp1 protease family C-terminal catalytic domain containing protein 
Solyc10g076970	Ulp1 protease family C-terminal catalytic domain containing protein 
Solyc10g076980	Mutator-like transposase 
Solyc10g076990	Arf-GAP domain and FG repeats-containing protein 1 
Solyc10g077000	Ulp1 protease family C-terminal catalytic domain containing protein expressed 
Solyc10g077010	Calmodulin 2 
Solyc10g077020	AT2G40980-like protein 
Solyc10g077030	Proteasome subunit alpha type 
Solyc10g077040	Magnesium-protoporphyrin IX monomethyl ester 
Solyc10g077050	Palmitoyltransferase erf2 
Solyc10g077060	Palmitoyltransferase akr1 
Solyc10g077070	Histone-lysine N-methyltransferase 
Solyc10g077080	Alpha-L-arabinofuranosidase 
Solyc10g077090	Unknown Protein 
Solyc10g077100	Os12g0130100 protein 
Solyc10g077110	Zinc finger protein 
Solyc10g077120	Photosystem II core complex proteins psbY 
Solyc10g077130	Atcambp25-binding protein OF 
Solyc10g077140	cDNA clone J013074B07 full insert sequence 
Solyc10g077150	Unknown Protein 
Solyc10g078150	Nascent polypeptide-associated complex alpha subunit-like protein 
Solyc10g078160	Hydroxyproline-rich glycoprotein-like 
Solyc10g078170	Phosphatidylinositol 3-and 4-kinase family protein 
Solyc10g078180	Cyclin family protein 
Solyc10g078190	DNA 
Solyc10g078200	3&apos-5&apos exonuclease 
Solyc10g078220	Cytochrome P450
Solyc10g078230	Cytochrome P450
Solyc10g078240	Cytochrome P450
Solyc10g078250	Peptidyl-prolyl cis-trans isomerase D 
Solyc10g078260	Peptidyl-prolyl cis-trans isomerase 
Solyc10g078270	Nodulin MtN21 family protein 
Solyc10g078280	Cytochrome P450 gene
Solyc10g078290	BZIP family transcription factor 
Solyc10g078300	Single-stranded nucleic acid binding R3H protein 
Solyc10g078310	Two-component response regulator ARR11 
Solyc10g078320	AAA family ATPase CDC48 subfamily 
Solyc10g078330	Cyclin B-like protein 
Solyc10g078340	Os03g0364500 protein 
Solyc10g078350	Os11g0166800 protein 
Solyc10g078360	3-oxoacyl-reductase 
Solyc10g078370	Auxin efflux carrier 
Solyc10g078380	Transcription factor bHLH106 
Solyc10g078390	Calcium-dependent protein kinase-like 
Solyc10g078400	Os03g0366700 protein 
Solyc10g078410	F-box family protein 
Solyc10g078420	Unknown Protein 
Solyc10g078430	Transcription factor Dp-1 
Solyc10g078440	Unknown Protein 
Solyc10g078450	U6 snRNA-associated Sm-like protein LSm6 
Solyc10g078460	Phosphatidylinositol-4-phosphate 5-kinase family protein 
Solyc10g078470	Tyrosine-specific transport protein 
Solyc10g078480	Chitobiosyldiphosphodolichol beta-mannosyltransferase 
Solyc10g078490	Aquaporin 
Solyc10g078500	Small basic intrinsic protein 1-2 
Solyc10g078510	Glucan endo-1 3-beta-glucosidase 5 
Solyc10g078520	Inhibitor of growth protein 4 
Solyc10g078530	Patatin-like protein 3 
Solyc10g078540	H/ACA ribonucleoprotein complex subunit 1-like protein 1 
Solyc10g078550	Glutamate dehydrogenase 
Solyc10g078560	Chaperone protein dnaJ 
Solyc10g078570	Genomic DNA chromosome 5 P1 clone MKN22 
Solyc10g078580	Unknown Protein 
Solyc10g078590	Unknown Protein 
Solyc10g078600	Myrosinase-binding protein 
Solyc10g078610	Ethylene-responsive transcription factor 1B 
Solyc10g078620	Ribosomal protein S5 
Solyc10g078630	40S ribosomal protein S28 
Solyc10g078640	Unknown Protein 
Solyc10g078650	Calmodulin-binding protein 
Solyc10g078660	60S ribosomal protein L24 
Solyc10g078670	BZIP transcription factor 
Solyc10g078680	Phosphoribosylanthranilate transferase 
Solyc10g078690	Mitochondrial protein translocase family 
Solyc10g078700	Squamosa promoter-binding protein 
Solyc10g078710	Unknown Protein 
Solyc10g078720	MYB-CC type transfactor 
Solyc10g078730	Non-structural maintenance of chromosome element 4 
Solyc10g078740	Enoyl reductase 
Solyc10g078750	Zinc finger CCCH domain-containing protein 14 
Solyc10g078760	Seed maturation protein LEA 4 
Solyc10g078770	Seed maturation protein LEA 4 
Solyc10g078780	Seed maturation protein LEA 4 
Solyc10g078790	AT5G57460 protein 
Solyc10g078800	Protein phosphatase 2C 
Solyc10g078810	Protein phosphatase 2C 
Solyc10g078820	Protein phosphatase 2c-like protein 
Solyc10g078830	Phosducin-like protein 3 
Solyc10g078840	Germin-like protein 3 
Solyc10g078850	Germin-like protein 5 
Solyc10g078860	DNA-directed RNA polymerase 
Solyc10g078870	Ycf2 
Solyc10g078880	DNA-directed RNA polymerase 
Solyc10g078890	Peroxidase 
Solyc10g078900	RING finger protein 5 
Solyc10g078910	Os06g0207500 protein 
Solyc10g078920	Thioredoxin-like 5 
Solyc10g078930	Activator of heat shock protein ATPase homolog 1 
Solyc10g078940	Receptor-like kinase 
Solyc10g078950	Glucose-repressible alcohol dehydrogenase transcriptional effector CCR4 
Solyc10g078960	60S ribosomal protein L21-like protein 
Solyc10g078970	Zinc finger protein 
Solyc10g078980	Unknown Protein 
Solyc10g078990	Zinc finger-like protein 
Solyc10g079000	Transmembrane and coiled-coil domain-containing protein 1 
Solyc10g079010	Unknown Protein 
Solyc10g079020	Cc-nbs-lrr resistance protein 
Solyc10g079030	Ras-related protein Rab-25 
Solyc10g079040	Squalene synthase 
Solyc10g079050	BHLH transcription factor 
Solyc10g079060	Squalene synthase 
Solyc10g079070	Transcription factor 
Solyc10g079080	Zinc finger A20 and AN1 domain-containing stress-associated protein 6 
Solyc10g079090	Chaperone protein dnaJ 6 
Solyc10g079100	Unknown Protein 
Solyc10g079110	1-acyl-sn-glycerol-3-phosphate acyltransferase 
Solyc10g079120	Zinc finger CCCH domain-containing protein 30 
Solyc10g079130	Calcium-dependent protein kinase 4 
Solyc10g079140	Guanylate kinase 
Solyc10g079150	Nuclear transcription factor Y subunit A-1 
Solyc10g079160	Os01g0617600 protein 
Solyc10g079170	"Receptor like kinase, RLK"
Solyc10g079180	Unknown Protein 
Solyc10g079190	Pre-mRNA splicing factor 
Solyc10g079200	Mitochondrial carrier protein 
Solyc10g079210	Abscisic acid insensitive 8 homologue 
Solyc10g079220	Unknown Protein 
Solyc10g079230	CM0545.450.nc protein 
Solyc10g079240	Calmodulin binding protein 
Solyc10g079250	Protein recA 
Solyc10g079260	Os06g0301100 protein 
Solyc10g079270	Carbonic anhydrase family protein 
Solyc10g079280	Organic anion transporter 
Solyc10g079290	Outer envelope membrane protein 
Solyc10g079300	Calcium-transporting ATPase 1 
Solyc10g079310	tRNA-splicing endonuclease subunit sen54 
Solyc10g079320	Glucosyltransferase-5 
Solyc10g079330	UDP-glucosyltransferase HvUGT5876 
Solyc10g079340	UDP-glucosyltransferase 
Solyc10g079350	UDP-glucosyltransferase HvUGT5876 
Solyc10g079360	Transcription initiation factor IIB-2 
Solyc10g079370	Transcription initiation factor IIB-2 
Solyc10g079380	Heat stress transcription factor 
Solyc10g079390	Unknown Protein 
Solyc10g079400	Gelsolin 
Solyc10g079410	Patatin-like phospholipase domain-containing protein c 
Solyc10g079420	Calmodulin 
Solyc10g079430	U3 small nucleolar RNA-associated protein 11 
Solyc10g079440	FAD-dependent oxidoreductase family protein 
Solyc10g079450	Dehydration-responsive protein-like 
Solyc10g079460	NPR1-like protein 
Solyc10g079470	"L-galactono-1,4-lactone dehydrogenase"
Solyc10g079480	Lycopene beta-cyclase 2
Solyc10g079490	Beta-1-3-galactosyl-o-glycosyl-glycoprotein 
Solyc10g079500	Inosine-5&apos-monophosphate dehydrogenase 
Solyc10g079510	Helicase-like protein 
Solyc10g079520	CM0545.450.nc protein 
Solyc10g079530	CM0545.450.nc protein 
Solyc10g079540	O-methyltransferase 
Solyc10g079550	Mitochondria fission 1 protein 
Solyc10g079560	Glutaredoxin family protein 
Solyc10g079570	Acyltransferase 
Solyc10g079580	RNA-binding region RNP-1 
Solyc10g079590	Uncharacterized plant-specific domain 01589 
Solyc10g079600	Response regulator 6 
Solyc10g079610	Strictosidine synthase family protein 
Solyc10g079620	HAD superfamily 
Solyc10g079630	Cell division protease ftsH homolog 
Solyc10g079640	Iaa-amino acid hydrolase 9 
Solyc10g079650	BHLH transcription factor-like 
Solyc10g079660	Importin alpha-1b subunit 
Solyc10g079670	Ribonuclease Z 
Solyc10g079680	BHLH transcription factor-like 
Solyc10g079690	Unknown Protein 
Solyc10g079700	Response regulator 6 
Solyc10g079710	Uncharacterized plant-specific domain 01589 
Solyc10g079720	Cystathionine gamma-lyase 
Solyc10g079730	Condensin complex subunit 1 
Solyc10g079740	HAUS augmin-like complex subunit 1 
Solyc10g079750	NPR1-like protein 
Solyc10g079760	Unknown Protein 
Solyc10g079770	Patatin-like phospholipase domain-containing protein c 
Solyc10g079780	Unknown Protein 
Solyc10g079790	Pathogen-induced calmodulin-binding protein 
Solyc10g079800	Unknown Protein 
Solyc10g079810	Unknown Protein 
Solyc10g079820	Early response to dehydration 15-like protein 
Solyc10g079830	Dihydroneopterin aldolase 
Solyc10g079840	Peptide chain release factor 2 
Solyc10g079850	Genomic DNA chromosome 3 P1 clone MPN9 
Solyc10g079860	Beta-1 3-glucanase 
Solyc10g079870	Cytokinin oxidase/dehydrogenase 1 
Solyc10g079880	Eukaryotic translation initiation factor 3 subunit 6 
Solyc10g079890	Calpain-2 catalytic subunit 
Solyc10g079900	Unknown Protein 
Solyc10g079910	Solute carrier family 35 member E1 
Solyc10g079920	Transmembrane protein 
Solyc10g079930	UDP-glucosyltransferase HvUGT5876 
Solyc10g079940	Unknown Protein 
Solyc10g079950	UDP-glucosyltransferase HvUGT5876 
Solyc10g079960	Unknown Protein 
Solyc10g079970	Transmembrane protein 19 
Solyc10g079980	UDP-glucose glucosyltransferase 
Solyc10g079990	Transcription initiation factor IIB-2 
Solyc10g080000	Transcription initiation factor IIB-2 
Solyc10g080010	Glycosyltransferase 
Solyc10g080020	F-box/LRR-repeat protein At5g63520 
Solyc10g080030	MADS box transcription factor 
Solyc10g080040	Ribonuclease 3 
Solyc10g080050	Plant-specific domain TIGR01570 family protein 
Solyc10g080060	Plant-specific domain TIGR01570 family protein 
Solyc10g080070	GTP-binding family protein 
Solyc10g080080	Thioredoxin reductase 
Solyc10g080090	HAT family dimerisation domain containing protein expressed 
Solyc10g080100	Actin-binding protein gelsolin 
Solyc10g080110	Cytoplasmic tRNA 2-thiolation protein 2 
Solyc10g080120	NADH dehydrogenase subunit 5 
Solyc10g080130	Exosome complex exonuclease RRP43 
Solyc10g080140	Unknown Protein 
Solyc10g080150	24-sterol C-methyltransferase 
Solyc10g080160	30S ribosomal protein S9-like 
Solyc10g080170	Unknown Protein 
Solyc10g080180	U3 small nucleolar RNA-associated protein 18 
Solyc10g080190	Atozi1 
Solyc10g080200	AN1-type zinc finger protein 2B 
Solyc10g080210	Polygalacturonase A 
Solyc10g080220	Pentatricopeptide repeat-containing protein 
Solyc10g080230	DNA binding protein-like 
Solyc10g080240	Remorin family protein 
Solyc10g080250	Unknown Protein 
Solyc10g080260	Zinc finger CCCH domain-containing protein 30 
Solyc10g080270	Unknown Protein 
Solyc10g080280	Unknown Protein 
Solyc10g080290	Unknown Protein 
Solyc10g080300	MYB transcription factor 
Solyc10g080310	Ethylene-responsive transcription factor 10 
Solyc10g080320	Adenylosuccinate synthetase 
Solyc10g080330	Pentatricopeptide repeat-containing protein 
Solyc10g080340	Mate efflux family protein 
Solyc10g080350	DNA-directed RNA polymerase 
Solyc10g080360	Unknown Protein 
Solyc10g080370	Unknown Protein 
Solyc10g080380	Unknown Protein 
Solyc10g080390	Serine/threonine protein kinase 
Solyc10g080400	Polychome UV-B-insensitive 4 
Solyc10g080410	BZIP transcription factor 
Solyc10g080420	Phosphoribosyltransferase 
Solyc10g080430	Phosphoribosylanthranilate transferase 
Solyc10g080440	TBCC domain-containing protein 1 
Solyc10g080450	Unknown Protein 
Solyc10g080460	MYB transcription factor 
Solyc10g080470	Unknown Protein 
Solyc10g080480	Zinc finger CCCH domain-containing protein 14 
Solyc10g080490	cDNA clone 002-130-C06 full insert sequence 
Solyc10g080500	Actin 
Solyc10g080510	Receptor-like kinase 
Solyc10g080520	E3 ubiquitin-protein ligase CHFR 
Solyc10g080530	Unknown Protein 
Solyc10g080540	Homeobox-leucine zipper protein 14 
Solyc10g080550	Os06g0207500 protein 
Solyc10g080560	DNA-3-methyladenine glycosylase 
Solyc10g080570	E3 ubiquitin-protein ligase sina 
Solyc10g080580	Receptor-like kinase 
Solyc10g080590	60S ribosomal protein L21-like protein 
Solyc10g080600	Zinc finger-like protein 
Solyc10g080610	Kelch-like protein 14 
